course,question_number,ref,image,source,question
050 Meteorologi,1,050 01 01 00,images_all/050_Q_001.jpg,050_Meteorologi_fragor_och_svar.txt,Vilket alternativ är mest fullständigt korrekt om troposfären?
050 Meteorologi,2,050 01 01 00,images_all/050_Q_002.jpg,050_Meteorologi_fragor_och_svar.txt,Vad är tropopausen?
050 Meteorologi,3,050 01 02 01,images_all/050_Q_003.jpg,050_Meteorologi_fragor_och_svar.txt,Vilken formel omvandlar Celsius till Fahrenheit?
050 Meteorologi,4,050 01 02 02,images_all/050_Q_004.jpg,050_Meteorologi_fragor_och_svar.txt,Hur skiljer sig verklig temperaturgradient från ISA?
050 Meteorologi,5,050 01 02 03,images_all/050_Q_005.jpg,050_Meteorologi_fragor_och_svar.txt,Vad är advektion?
050 Meteorologi,6,050 01 02 03,images_all/050_Q_006.jpg,050_Meteorologi_fragor_och_svar.txt,Vilket alternativ är mest fullständigt korrekt om solens och jordens strålning?
050 Meteorologi,7,050 01 02 04,images_all/050_Q_007.jpg,050_Meteorologi_fragor_och_svar.txt,Vilket väder är typiskt vid labil skiktning?
050 Meteorologi,8,050 01 02 05,images_all/050_Q_008.jpg,050_Meteorologi_fragor_och_svar.txt,Vad är markinversion?
050 Meteorologi,9,050 01 02 05,images_all/050_Q_009.jpg,050_Meteorologi_fragor_och_svar.txt,Vilken inversion kopplas till sjunkande luft i högtryck?
050 Meteorologi,10,050 01 02 06,images_all/050_Q_010.jpg,050_Meteorologi_fragor_och_svar.txt,Varför är temperaturen ofta jämnare vid kusten än i inlandet?
050 Meteorologi,11,050 01 03 01,images_all/050_Q_011.jpg,050_Meteorologi_fragor_och_svar.txt,Vad är en isobar?
050 Meteorologi,12,050 01 03 02,images_all/050_Q_012.jpg,050_Meteorologi_fragor_och_svar.txt,Hur förändras lufttrycket normalt med höjden?
050 Meteorologi,13,050 01 03 03,images_all/050_Q_013.jpg,050_Meteorologi_fragor_och_svar.txt,Vad är QNH?
050 Meteorologi,14,050 01 03 03,images_all/050_Q_014.jpg,050_Meteorologi_fragor_och_svar.txt,Vad är QFE?
050 Meteorologi,15,050 01 03 04,images_all/050_Q_015.jpg,050_Meteorologi_fragor_och_svar.txt,Vad menas med standardtid?
050 Meteorologi,16,050 01 04 01,images_all/050_Q_016.jpg,050_Meteorologi_fragor_och_svar.txt,Vad händer med luftens densitet när temperaturen ökar vid samma tryck?
050 Meteorologi,17,050 01 04 01,images_all/050_Q_017.jpg,050_Meteorologi_fragor_och_svar.txt,Hur påverkar hög temperatur startprestanda?
050 Meteorologi,18,050 01 05 00,images_all/050_Q_018.jpg,050_Meteorologi_fragor_och_svar.txt,Vilka ISA-värden gäller vid havsytan?
050 Meteorologi,19,050 01 05 00,images_all/050_Q_019.jpg,050_Meteorologi_fragor_och_svar.txt,Vilket temperaturavtagande används i ISA upp till tropopausen?
050 Meteorologi,20,050 01 06 01,images_all/050_Q_020.jpg,050_Meteorologi_fragor_och_svar.txt,Vad är skillnaden mellan altitude och height?
050 Meteorologi,21,050 01 06 02,images_all/050_Q_021.jpg,050_Meteorologi_fragor_och_svar.txt,"När används standardinställningen 1013,2 hPa?"
050 Meteorologi,22,050 01 06 03,images_all/050_Q_022.jpg,050_Meteorologi_fragor_och_svar.txt,Hur mycket motsvarar ungefär 1 hPa på höjdmätaren?
050 Meteorologi,23,050 01 06 04,images_all/050_Q_023.jpg,050_Meteorologi_fragor_och_svar.txt,Hur kan stark vind över kuperad terräng påverka höjdmätningen?
050 Meteorologi,24,050 02 01 01,images_all/050_Q_024.jpg,050_Meteorologi_fragor_och_svar.txt,Vad anger vindriktning?
050 Meteorologi,25,050 02 01 01,images_all/050_Q_025.jpg,050_Meteorologi_fragor_och_svar.txt,Vilket samband är ungefär rätt?
050 Meteorologi,26,050 02 01 01,images_all/050_Q_026.jpg,050_Meteorologi_fragor_och_svar.txt,Vad är skillnaden mellan vind i METAR/TAF och vind vid start/landning?
050 Meteorologi,27,050 02 02 01,images_all/050_Q_027.jpg,050_Meteorologi_fragor_och_svar.txt,Åt vilket håll verkar tryckgradientkraften?
050 Meteorologi,28,050 02 02 01,images_all/050_Q_028.jpg,050_Meteorologi_fragor_och_svar.txt,Hur verkar Corioliskraften på norra halvklotet?
